date,val_perMW_interval_exante,portfolio_pln_interval_exante_capped,val_perMW_interval_expost,portfolio_pln_interval_expost_capped,budget_pln_interval
2024-08-03,828.2611627467386,41413.05813733693,27.784999999999997,1389.2499999999998,1146250.42225
2024-08-04,1937.576187696467,96843.95602825514,561.88,28094.0,1873536.362
2024-08-05,5369.077819124186,248647.25511781435,1950.4250000000002,97521.25,4416015.42775
2024-08-06,6533.625127099447,279736.9007937201,2076.075,103803.75,5227991.9875
2024-08-07,8388.426829805323,350294.2980647348,2587.0175,129350.875,6332731.7870000005
2024-08-08,10464.973946325179,358987.73241003737,3057.2,152860.0,6378920.28775
2024-08-09,12548.591070586828,423763.5887453823,3473.185,173659.25,6679199.06925
2024-08-10,8494.224174411276,387337.45947539806,2871.6875,143584.375,7116542.059
2024-08-11,18916.057160058634,306155.7189808589,3453.81,172690.5,7184877.8275
2024-08-12,17210.79441992878,400413.75952710543,3966.8725,198343.625,6997931.123
2024-08-13,9504.398256480457,286680.99432515196,2498.22,124911.0,4914643.8035
2024-08-14,7322.214158575528,258317.7144645219,2246.9125,112345.625,4597871.16325
2024-08-15,11076.392432110531,475157.25653918314,3668.395,183419.75,7782501.2530000005
2024-08-16,22581.08067408477,387638.70898613916,4249.38,212469.0,6634696.637
2024-08-17,9036.154208613209,335961.9876663661,2570.3925,128519.625,6002027.548
2024-08-18,3918.662523864621,187192.69092196683,1297.09,64854.5,3481244.0475
2024-08-19,29069.64494395546,425064.5728423971,4104.0875,205204.375,7492075.165
2024-08-20,56377.82890403152,624393.3273592235,6336.4825,316824.125,10277317.027
2024-08-21,19174.08394220362,574866.4147853027,5186.5425000000005,259327.125,9409658.6295
2024-08-22,11187.589409056443,445814.15931418934,3819.1525,190957.625,7327369.43675
2024-08-23,3768.5735028694935,187840.14003494632,1245.2625,62263.12499999999,3719081.3825
2024-08-24,9995.875025192434,371407.6646048092,3431.625,171581.25,5983396.32975
2024-08-25,5713.477811939081,264999.04857352696,2709.3825,135469.125,6040773.87075
2024-08-26,68313.073357282,471012.35797682113,5140.9475,257047.375,8008120.01475
2024-08-27,6974.316197307694,225328.97165506054,2125.8775,106293.875,4293970.989
2024-08-28,44602.60106482292,424704.30343479634,4739.1275,236956.375,7223901.99475
2024-08-29,391513.47099536535,801440.5535123993,9549.58,477479.0,12892694.5555
2024-08-30,35102.31745376314,533099.8208540628,5416.9800000000005,270849.0,9093301.572
2024-08-31,8894.43916583304,440761.36497593793,3000.5675,150028.375,7131707.9385
2024-09-01,4876.807647107569,241103.33808383995,1367.88,68394.0,4706888.56575
2024-09-02,109827.5885881978,641518.7182983449,7242.8325,362141.625,10754744.5365
2024-09-03,138113.38239208463,353680.8215479156,4650.565,232528.25,6405291.0175
2024-09-04,32173.453483722453,394393.0893740674,4159.3675,207968.375,6966963.8692499995
2024-09-05,3073.762408094276,146504.0273493079,790.2825,39514.125,2868879.5125
2024-09-06,8792.24117659538,316839.31142521655,2828.6375000000003,141431.875,5198394.5005
2024-09-07,3086.84297027733,150352.3083266324,1056.9275000000002,52846.37500000001,3279457.2060000002
2024-09-08,4748.5521745486185,237401.79359965815,1474.8275,73741.37500000001,5129996.6515
2024-09-09,12694.283449797147,561573.8002500652,4657.0175,232850.875,9253767.67975
2024-09-10,27803.734730565975,481003.3552657933,4453.8775,222693.875,8155730.7215
2024-09-11,11906.597752400992,315620.93810060027,2451.5875,122579.375,5559986.40825
2024-09-12,8661.79848684033,333440.8007214529,2768.45,138422.5,6690255.94575
2024-09-13,12731.80798945796,529988.9804812946,6751.22,337561.0,10155281.2265
2024-09-14,758.9343026027519,37852.74391263669,116.28,5814.0,755505.971
2024-09-15,3720.92027223451,175890.98203288374,1240.5475,62027.375,3140656.391
