dt,Hours_in_interval,price_pln_per_mw_h,mw_procured,budget_pln_interval,p_accept_exante,val_perMW_h_exante,val_perMW_interval_exante,portfolio_pln_interval_exante_capped,p_accept_expost,val_perMW_h_expost,val_perMW_interval_expost,portfolio_pln_interval_expost_capped,cap_share_pln
2024-07-01 02:00:00+00:00,0.25,534.37,512.5,68466.15625,0.540416462221707,341.58058854066803,85.39514713516701,4269.75735675835,1.0,134.37,33.5925,1679.625,6679.625
2024-07-01 02:15:00+00:00,0.25,443.19,487.8,54047.0205,0.40484096044708584,200.4155843865334,50.10389609663335,2505.1948048316676,1.0,43.19,10.7975,539.875,5539.875
2024-07-01 02:30:00+00:00,0.25,369.7,358.7,33152.847499999996,0.2963417405936021,121.01114367984057,30.252785919960143,1512.6392959980071,0.0,0.0,0.0,0.0,4621.25
2024-07-01 02:45:00+00:00,0.25,366.7,336.0,30802.8,0.2906962696259945,117.49272603980151,29.373181509950378,1468.6590754975189,0.0,0.0,0.0,0.0,4583.75
2024-07-01 03:00:00+00:00,0.25,368.7,451.1,41580.1425,0.29737059958536805,121.6582529793592,30.4145632448398,1520.72816224199,0.0,0.0,0.0,0.0,4608.75
2024-07-01 03:15:00+00:00,0.25,370.81,386.8,35857.327000000005,0.3091331064545787,129.18762252443256,32.29690563110814,1614.845281555407,0.0,0.0,0.0,0.0,4635.125000000001
2024-07-01 03:30:00+00:00,0.25,370.81,398.4,36932.676,0.30937842707185803,129.34725533041274,32.336813832603184,1616.8406916301592,0.0,0.0,0.0,0.0,4635.125
2024-07-01 03:45:00+00:00,0.25,376.81,344.8,32481.022,0.32723995443734877,141.26308350920868,35.31577087730217,1765.7885438651085,0.0,0.0,0.0,0.0,4710.125
2024-07-01 04:00:00+00:00,0.25,516.06,520.7,67178.1105,0.541181838219969,342.55684691424096,85.63921172856024,4281.960586428012,1.0,116.05999999999995,29.014999999999986,1450.7499999999993,6450.749999999999
2024-07-01 04:15:00+00:00,0.25,618.05,666.8,103028.93499999998,0.5983909893318351,423.1229888593764,105.7807472148441,5289.037360742205,1.0,218.04999999999995,54.51249999999999,2725.6249999999995,7725.624999999999
2024-07-01 04:30:00+00:00,0.25,618.05,583.6,90173.495,0.5981163680095936,422.69675263061004,105.67418815765251,5283.709407882626,1.0,218.04999999999995,54.51249999999999,2725.6249999999995,7725.625
2024-07-01 04:45:00+00:00,0.25,618.05,684.3,105732.90374999998,0.610272127970966,441.9751254351484,110.4937813587871,5524.6890679393555,1.0,218.04999999999995,54.51249999999999,2725.6249999999995,7725.624999999999
2024-07-01 05:00:00+00:00,0.25,618.05,619.9,95782.29874999999,0.6404020111316562,493.69656027311737,123.42414006827934,6171.207003413967,1.0,218.04999999999995,54.51249999999999,2725.6249999999995,7725.624999999999
2024-07-01 05:15:00+00:00,0.25,631.04,653.7,103127.712,0.6467338529628718,505.3506436640877,126.33766091602193,6316.883045801096,1.0,231.03999999999996,57.75999999999999,2887.9999999999995,7887.999999999999
2024-07-01 05:30:00+00:00,0.25,746.91,749.1,139877.57025,0.784022420408405,860.6878398742666,215.17195996856665,9336.375,1.0,346.90999999999997,86.72749999999999,4336.375,9336.375
2024-07-01 05:45:00+00:00,0.25,666.63,800.0,133326.0,0.6843722115213156,581.1995150642135,145.29987876605338,7264.993938302669,1.0,266.63,66.6575,3332.875,8332.875
2024-07-01 06:00:00+00:00,0.25,654.04,697.0,113966.46999999999,0.6691124971942735,549.0050337773179,137.25125844432947,6862.562922216473,1.0,254.03999999999996,63.50999999999999,3175.4999999999995,8175.499999999998
2024-07-01 06:15:00+00:00,0.25,679.0,647.9,109981.025,0.7062125780744363,631.2038077405477,157.80095193513694,7890.047596756847,1.0,279.0,69.75,3487.5,8487.5
2024-07-01 06:30:00+00:00,0.25,679.0,784.2,133117.95,0.7032335569000866,624.0879507380116,156.0219876845029,7801.0993842251455,1.0,279.0,69.75,3487.5,8487.5
2024-07-01 06:45:00+00:00,0.25,657.0,615.5,101095.875,0.6738192362205568,558.7123911988517,139.67809779971293,6983.904889985646,1.0,257.0,64.25,3212.5,8212.5
2024-07-01 07:00:00+00:00,0.25,626.05,682.0,106741.525,0.6241211252640977,465.0163545585911,116.25408863964778,5812.704431982389,1.0,226.04999999999995,56.51249999999999,2825.6249999999995,7825.625
2024-07-01 07:15:00+00:00,0.25,665.87,571.3,95102.88274999999,0.6885897979713876,590.4789681864502,147.61974204661254,7380.987102330627,1.0,265.87,66.4675,3323.375,8323.375
2024-07-01 07:30:00+00:00,0.25,621.29,574.9,89294.90525,0.6076725429128411,437.78030186927504,109.44507546731876,5472.253773365938,1.0,221.28999999999996,55.32249999999999,2766.1249999999995,7766.125
2024-07-01 07:45:00+00:00,0.25,621.29,676.0,104998.01,0.5941048836662599,416.5181353932521,104.12953384831303,5206.476692415652,1.0,221.28999999999996,55.32249999999999,2766.1249999999995,7766.125
2024-07-01 08:00:00+00:00,0.25,621.29,711.9,110574.08774999999,0.6109539041399662,443.0819176036445,110.77047940091113,5538.523970045557,1.0,221.28999999999996,55.32249999999999,2766.1249999999995,7766.125
