dt,price_pln_per_mw_h,mw_procured,mw_available,cap_revenue_band_1,cap_revenue_band_2,cap_revenue_band_3,capacity_revenue_baseline,budget_envelope,capacity_revenue_capped,bound_flag,total_revenue
2024-06-30 22:00:00+00:00,178.85,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,4471.25,2131.764652252175,0,2131.764652252175
2024-06-30 22:15:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-06-30 22:30:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-06-30 22:45:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-06-30 23:00:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-06-30 23:15:00+00:00,133.18,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,3329.5,2131.764652252175,0,2131.764652252175
2024-06-30 23:30:00+00:00,133.18,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,3329.5,2131.764652252175,0,2131.764652252175
2024-06-30 23:45:00+00:00,133.18,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,3329.5,2131.764652252175,0,2131.764652252175
2024-07-01 00:00:00+00:00,133.18,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,3329.5,2131.764652252175,0,2131.764652252175
2024-07-01 00:15:00+00:00,135.18,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,3379.5,2131.764652252175,0,2131.764652252175
2024-07-01 00:30:00+00:00,135.18,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,3379.5,2131.764652252175,0,2131.764652252175
2024-07-01 00:45:00+00:00,135.18,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,3379.5,2131.764652252175,0,2131.764652252175
2024-07-01 01:00:00+00:00,135.18,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,3379.5,2131.764652252175,0,2131.764652252175
2024-07-01 01:15:00+00:00,131.98,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,3299.4999999999995,2131.764652252175,0,2131.764652252175
2024-07-01 01:30:00+00:00,131.98,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,3299.4999999999995,2131.764652252175,0,2131.764652252175
2024-07-01 01:45:00+00:00,131.98,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,3299.4999999999995,2131.764652252175,0,2131.764652252175
2024-07-01 02:00:00+00:00,131.98,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,3299.4999999999995,2131.764652252175,0,2131.764652252175
2024-07-01 02:15:00+00:00,147.78,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,3694.5,2131.764652252175,0,2131.764652252175
2024-07-01 02:30:00+00:00,147.78,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,3694.5,2131.764652252175,0,2131.764652252175
2024-07-01 02:45:00+00:00,147.78,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,3694.5,2131.764652252175,0,2131.764652252175
2024-07-01 03:00:00+00:00,147.78,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,3694.5,2131.764652252175,0,2131.764652252175
2024-07-01 03:15:00+00:00,129.67,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,3241.7499999999995,2131.764652252175,0,2131.764652252175
2024-07-01 03:30:00+00:00,129.67,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,3241.7499999999995,2131.764652252175,0,2131.764652252175
2024-07-01 03:45:00+00:00,129.67,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,3241.7499999999995,2131.764652252175,0,2131.764652252175
2024-07-01 04:00:00+00:00,129.67,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,3241.7499999999995,2131.764652252175,0,2131.764652252175
2024-07-01 04:15:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 04:30:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 04:45:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 05:00:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 05:15:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 05:30:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 05:45:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 06:00:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 06:15:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 06:30:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 06:45:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 07:00:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 07:15:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 07:30:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 07:45:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 08:00:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 08:15:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 08:30:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 08:45:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 09:00:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 09:15:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 09:30:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 09:45:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 10:00:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 10:15:00+00:00,89.49,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,2237.25,2131.764652252175,0,2131.764652252175
2024-07-01 10:30:00+00:00,89.49,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,2237.25,2131.764652252175,0,2131.764652252175
2024-07-01 10:45:00+00:00,89.49,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,2237.25,2131.764652252175,0,2131.764652252175
2024-07-01 11:00:00+00:00,89.49,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,2237.25,2131.764652252175,0,2131.764652252175
2024-07-01 11:15:00+00:00,88.64,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,2216.0,2131.764652252175,0,2131.764652252175
2024-07-01 11:30:00+00:00,88.64,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,2216.0,2131.764652252175,0,2131.764652252175
2024-07-01 11:45:00+00:00,88.64,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,2216.0,2131.764652252175,0,2131.764652252175
2024-07-01 12:00:00+00:00,88.64,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,2216.0,2131.764652252175,0,2131.764652252175
2024-07-01 12:15:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 12:30:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 12:45:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 13:00:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 13:15:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 13:30:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 13:45:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 14:00:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 14:15:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 14:30:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 14:45:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 15:00:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
2024-07-01 15:15:00+00:00,68.91,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1722.75,1722.75,1,1722.75
