dt,price_pln_per_mw_h,mw_procured,mw_available,cap_revenue_band_1,cap_revenue_band_2,p_cap_weighted,capacity_revenue_baseline,budget_envelope,capacity_revenue_capped,bound_flag,energy_revenue,p_energy,payoff_per_MWh,total_revenue
2024-06-30 22:00:00+00:00,178.85,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,2235.625,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-06-30 22:15:00+00:00,68.91,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,861.375,861.375,1,-2.007542897379158,0.9805527123848515,-50.0,859.3674571026208
2024-06-30 22:30:00+00:00,68.91,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,861.375,861.375,1,-2.007542897379158,0.9805527123848515,-50.0,859.3674571026208
2024-06-30 22:45:00+00:00,68.91,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,861.375,861.375,1,-2.007542897379158,0.9805527123848515,-50.0,859.3674571026208
2024-06-30 23:00:00+00:00,68.91,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,861.375,861.375,1,-2.007542897379158,0.9805527123848515,-50.0,859.3674571026208
2024-06-30 23:15:00+00:00,133.18,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,1664.75,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-06-30 23:30:00+00:00,133.18,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,1664.75,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-06-30 23:45:00+00:00,133.18,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,1664.75,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-01 00:00:00+00:00,133.18,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,1664.75,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-01 00:15:00+00:00,135.18,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,1689.75,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-01 00:30:00+00:00,135.18,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,1689.75,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-01 00:45:00+00:00,135.18,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,1689.75,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-01 01:00:00+00:00,135.18,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,1689.75,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-01 01:15:00+00:00,131.98,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,1649.7499999999998,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-01 01:30:00+00:00,131.98,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,1649.7499999999998,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-01 01:45:00+00:00,131.98,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,1649.7499999999998,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-01 02:00:00+00:00,131.98,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,1649.7499999999998,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-01 02:15:00+00:00,147.78,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,1847.25,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-01 02:30:00+00:00,147.78,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,1847.25,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-01 02:45:00+00:00,147.78,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,1847.25,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-01 03:00:00+00:00,147.78,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,1847.25,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-01 03:15:00+00:00,129.67,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,1620.8749999999998,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-01 03:30:00+00:00,129.67,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,1620.8749999999998,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-01 03:45:00+00:00,129.67,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,1620.8749999999998,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-01 04:00:00+00:00,129.67,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,1620.8749999999998,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-01 04:15:00+00:00,68.91,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,861.375,861.375,1,-2.007542897379158,0.9805527123848515,-50.0,859.3674571026208
