dt,price_pln_per_mw_h,mw_procured,mw_available,cap_revenue_band_1,p_cap_weighted,capacity_revenue_baseline,budget_envelope,capacity_revenue_capped,bound_flag,energy_revenue,p_energy,payoff_per_MWh,total_revenue
2024-06-30 22:00:00+00:00,178.85,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,3353.4375,1635.9816490605708,0,7.490860236437113,0.9672466734902764,88.75999999999999,1643.472509297008
2024-06-30 22:15:00+00:00,68.91,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,1292.0625,1292.0625,1,6.150674786294917,0.9672466734902764,72.88,1298.213174786295
2024-06-30 22:30:00+00:00,68.91,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,1292.0625,1292.0625,1,7.809027689021249,0.9672466734902764,92.53,1299.8715276890211
2024-06-30 22:45:00+00:00,68.91,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,1292.0625,1292.0625,1,9.656424383203408,0.9672466734902764,114.42,1301.7189243832033
2024-06-30 23:00:00+00:00,68.91,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,1292.0625,1292.0625,1,6.664637594315445,0.9672466734902764,78.97,1298.7271375943155
2024-06-30 23:15:00+00:00,133.18,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,2497.125,1635.9816490605708,0,6.664637594315445,0.9672466734902764,78.97,1642.6462866548864
2024-06-30 23:30:00+00:00,133.18,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,2497.125,1635.9816490605708,0,10.490242534803214,0.9672466734902764,124.3,1646.471891595374
2024-06-30 23:45:00+00:00,133.18,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,2497.125,1635.9816490605708,0,8.77787712023236,0.9672466734902764,104.01,1644.7595261808033
2024-07-01 00:00:00+00:00,133.18,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,2497.125,1635.9816490605708,0,9.136553956699887,0.9672466734902764,108.26,1645.1182030172706
2024-07-01 00:15:00+00:00,135.18,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,2534.625,1635.9816490605708,0,-1.3874463980061529,0.9672466734902764,-16.439999999999998,1634.5942026625646
2024-07-01 00:30:00+00:00,135.18,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,2534.625,1635.9816490605708,0,9.149213139163447,0.9672466734902764,108.41,1645.1308621997343
2024-07-01 00:45:00+00:00,135.18,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,2534.625,1635.9816490605708,0,9.144993411675593,0.9672466734902764,108.36,1645.1266424722464
2024-07-01 01:00:00+00:00,135.18,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,2534.625,1635.9816490605708,0,11.497069513405004,0.9672466734902764,136.23000000000002,1647.4787185739758
2024-07-01 01:15:00+00:00,131.98,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,2474.625,1635.9816490605708,0,6.949047226996755,0.9672466734902764,82.34,1642.9306962875676
2024-07-01 01:30:00+00:00,131.98,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,2474.625,1635.9816490605708,0,7.346545556352532,0.9672466734902764,87.05,1643.3281946169234
2024-07-01 01:45:00+00:00,131.98,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,2474.625,1635.9816490605708,0,9.79989511779042,0.9672466734902764,116.12,1645.7815441783612
2024-07-01 02:00:00+00:00,131.98,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,2474.625,1635.9816490605708,0,9.565278269465779,0.9672466734902764,113.34,1645.5469273300366
2024-07-01 02:15:00+00:00,147.78,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,2770.875,1635.9816490605708,0,12.365489430405201,0.9672466734902764,146.51999999999998,1648.347138490976
2024-07-01 02:30:00+00:00,147.78,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,2770.875,1635.9816490605708,0,9.786391989829289,0.9672466734902764,115.96,1645.7680410504001
2024-07-01 02:45:00+00:00,147.78,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,2770.875,1635.9816490605708,0,8.722176717392696,0.9672466734902764,103.35,1644.7038257779634
2024-07-01 03:00:00+00:00,147.78,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,2770.875,1635.9816490605708,0,15.25684670508226,0.9672466734902764,180.78,1651.2384957656532
2024-07-01 03:15:00+00:00,129.67,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,2431.3124999999995,1635.9816490605708,0,11.68864514135354,0.9672466734902764,138.5,1647.6702942019244
2024-07-01 03:30:00+00:00,129.67,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,2431.3124999999995,1635.9816490605708,0,12.307257191072827,0.9672466734902764,145.82999999999998,1648.2889062516435
2024-07-01 03:45:00+00:00,129.67,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,2431.3124999999995,1635.9816490605708,0,9.158496539636722,0.9672466734902764,108.52,1645.1401456002075
2024-07-01 04:00:00+00:00,129.67,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,2431.3124999999995,1635.9816490605708,0,11.171306551342731,0.9672466734902764,132.37,1647.1529556119135
2024-07-01 04:15:00+00:00,68.91,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,1292.0625,1292.0625,1,12.553689276363459,0.9672466734902764,148.75,1304.6161892763635
2024-07-01 04:30:00+00:00,68.91,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,1292.0625,1292.0625,1,9.89188517702562,0.9672466734902764,117.21,1301.9543851770256
2024-07-01 04:45:00+00:00,68.91,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,1292.0625,1292.0625,1,13.112381195755232,0.9672466734902764,155.37,1305.1748811957552
2024-07-01 05:00:00+00:00,68.91,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,1292.0625,1292.0625,1,10.91221528358854,0.9672466734902764,129.3,1302.9747152835885
2024-07-01 05:15:00+00:00,68.91,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,1292.0625,1292.0625,1,11.564585153210654,0.9672466734902764,137.03,1303.6270851532106
2024-07-01 05:30:00+00:00,68.91,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,1292.0625,1292.0625,1,10.910527392593398,0.9672466734902764,129.28,1302.9730273925934
2024-07-01 05:45:00+00:00,68.91,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,1292.0625,1292.0625,1,16.088133020189353,0.9672466734902764,190.63,1308.1506330201894
