dt,price_pln_per_mw_h,mw_procured,mw_available,cap_revenue_band_1,capacity_revenue_baseline,budget_envelope,capacity_revenue_capped,bound_flag,total_revenue
2024-07-07 14:45:00+00:00,331.31,400.0,50.0,1106.1623899157923,1106.1623899157923,4141.375,1106.1623899157923,0,1106.1623899157923
2024-07-07 15:00:00+00:00,331.31,400.0,50.0,1106.1623899157923,1106.1623899157923,4141.375,1106.1623899157923,0,1106.1623899157923
2024-07-07 15:15:00+00:00,171.08,400.0,50.0,1106.1623899157923,1106.1623899157923,2138.5,1106.1623899157923,0,1106.1623899157923
2024-07-07 15:30:00+00:00,171.08,400.0,50.0,1106.1623899157923,1106.1623899157923,2138.5,1106.1623899157923,0,1106.1623899157923
2024-07-07 15:45:00+00:00,171.08,400.0,50.0,1106.1623899157923,1106.1623899157923,2138.5,1106.1623899157923,0,1106.1623899157923
2024-07-07 16:00:00+00:00,151.08,400.0,50.0,1106.1623899157923,1106.1623899157923,1888.5000000000002,1106.1623899157923,0,1106.1623899157923
2024-07-07 16:15:00+00:00,94.61,400.0,50.0,1106.1623899157923,1106.1623899157923,1182.625,1106.1623899157923,0,1106.1623899157923
2024-07-07 16:30:00+00:00,94.61,400.0,50.0,1106.1623899157923,1106.1623899157923,1182.625,1106.1623899157923,0,1106.1623899157923
2024-07-07 16:45:00+00:00,94.61,400.0,50.0,1106.1623899157923,1106.1623899157923,1182.625,1106.1623899157923,0,1106.1623899157923
2024-07-07 17:00:00+00:00,94.61,400.0,50.0,1106.1623899157923,1106.1623899157923,1182.625,1106.1623899157923,0,1106.1623899157923
2024-07-07 17:15:00+00:00,57.93,400.0,50.0,1106.1623899157923,1106.1623899157923,724.125,724.125,1,724.125
2024-07-07 17:30:00+00:00,57.93,400.0,50.0,1106.1623899157923,1106.1623899157923,724.125,724.125,1,724.125
2024-07-07 17:45:00+00:00,57.93,400.0,50.0,1106.1623899157923,1106.1623899157923,724.125,724.125,1,724.125
2024-07-07 18:00:00+00:00,37.49,400.0,50.0,1106.1623899157923,1106.1623899157923,468.625,468.625,1,468.625
2024-07-07 18:15:00+00:00,15.46,400.0,50.0,1106.1623899157923,1106.1623899157923,193.25,193.25,1,193.25
2024-07-07 18:30:00+00:00,73.38,400.0,50.0,1106.1623899157923,1106.1623899157923,917.25,917.25,1,917.25
2024-07-07 18:45:00+00:00,73.38,400.0,50.0,1106.1623899157923,1106.1623899157923,917.25,917.25,1,917.25
2024-07-07 19:00:00+00:00,73.38,400.0,50.0,1106.1623899157923,1106.1623899157923,917.25,917.25,1,917.25
2024-07-07 19:15:00+00:00,71.76,400.0,50.0,1106.1623899157923,1106.1623899157923,897.0000000000001,897.0000000000001,1,897.0000000000001
2024-07-07 19:30:00+00:00,71.76,400.0,50.0,1106.1623899157923,1106.1623899157923,897.0000000000001,897.0000000000001,1,897.0000000000001
2024-07-07 19:45:00+00:00,71.76,400.0,50.0,1106.1623899157923,1106.1623899157923,897.0000000000001,897.0000000000001,1,897.0000000000001
2024-07-07 20:00:00+00:00,71.76,400.0,50.0,1106.1623899157923,1106.1623899157923,897.0000000000001,897.0000000000001,1,897.0000000000001
2024-07-07 20:15:00+00:00,66.75,400.0,50.0,1106.1623899157923,1106.1623899157923,834.375,834.375,1,834.375
2024-07-07 20:30:00+00:00,66.75,400.0,50.0,1106.1623899157923,1106.1623899157923,834.375,834.375,1,834.375
2024-07-07 20:45:00+00:00,86.75,400.0,50.0,1106.1623899157923,1106.1623899157923,1084.375,1084.375,1,1084.375
2024-07-07 21:00:00+00:00,66.75,400.0,50.0,1106.1623899157923,1106.1623899157923,834.375,834.375,1,834.375
2024-07-07 21:15:00+00:00,53.11,400.0,50.0,1106.1623899157923,1106.1623899157923,663.875,663.875,1,663.875
