dt,Hours_in_interval,price_pln_per_mw_h,mw_procured,budget_pln_interval,p_accept_exante,val_perMW_h_exante,val_perMW_interval_exante,portfolio_pln_interval_exante_capped,p_accept_expost,val_perMW_h_expost,val_perMW_interval_expost,portfolio_pln_interval_expost_capped,cap_share_pln
2024-06-13 22:00:00+00:00,0.25,488.0,,,,,,,1.0,88.0,22.0,0.0,0.0
2024-06-13 22:15:00+00:00,0.25,492.56,,,,,,,1.0,92.56,23.14,0.0,0.0
2024-06-13 22:30:00+00:00,0.25,492.56,,,,,,,1.0,92.56,23.14,0.0,0.0
2024-06-13 22:45:00+00:00,0.25,492.56,,,,,,,1.0,92.56,23.14,0.0,0.0
2024-06-13 23:00:00+00:00,0.25,492.56,550.0,67727.0,,,,,1.0,92.56,23.14,1157.0,6157.0
2024-06-13 23:15:00+00:00,0.25,470.92,550.0,64751.5,,,,,1.0,70.92000000000002,17.730000000000004,886.5000000000002,5886.5
2024-06-13 23:30:00+00:00,0.25,470.92,550.0,64751.5,,,,,1.0,70.92000000000002,17.730000000000004,886.5000000000002,5886.5
2024-06-13 23:45:00+00:00,0.25,470.92,550.0,64751.5,,,,,1.0,70.92000000000002,17.730000000000004,886.5000000000002,5886.5
2024-06-14 00:00:00+00:00,0.25,470.92,550.0,64751.5,,,,,1.0,70.92000000000002,17.730000000000004,886.5000000000002,5886.5
2024-06-14 00:15:00+00:00,0.25,463.17,550.0,63685.875,,,,,1.0,63.170000000000016,15.792500000000004,789.6250000000002,5789.625
2024-06-14 00:30:00+00:00,0.25,463.17,550.0,63685.875,,,,,1.0,63.170000000000016,15.792500000000004,789.6250000000002,5789.625
2024-06-14 00:45:00+00:00,0.25,463.17,550.0,63685.875,,,,,1.0,63.170000000000016,15.792500000000004,789.6250000000002,5789.625
2024-06-14 01:00:00+00:00,0.25,463.17,550.0,63685.875,,,,,1.0,63.170000000000016,15.792500000000004,789.6250000000002,5789.625
2024-06-14 01:15:00+00:00,0.25,460.65,550.0,63339.375,,,,,1.0,60.64999999999998,15.162499999999994,758.1249999999998,5758.125
2024-06-14 01:30:00+00:00,0.25,460.65,550.0,63339.375,,,,,1.0,60.64999999999998,15.162499999999994,758.1249999999998,5758.125
2024-06-14 01:45:00+00:00,0.25,460.65,550.0,63339.375,,,,,1.0,60.64999999999998,15.162499999999994,758.1249999999998,5758.125
2024-06-14 02:00:00+00:00,0.25,460.65,550.0,63339.375,,,,,1.0,60.64999999999998,15.162499999999994,758.1249999999998,5758.125
2024-06-14 02:15:00+00:00,0.25,458.22,550.0,63005.25000000001,,,,,1.0,58.22000000000003,14.555000000000007,727.7500000000003,5727.750000000001
2024-06-14 02:30:00+00:00,0.25,458.22,550.0,63005.25000000001,,,,,1.0,58.22000000000003,14.555000000000007,727.7500000000003,5727.750000000001
2024-06-14 02:45:00+00:00,0.25,458.22,550.0,63005.25000000001,,,,,1.0,58.22000000000003,14.555000000000007,727.7500000000003,5727.750000000001
2024-06-14 03:00:00+00:00,0.25,458.22,550.0,63005.25000000001,,,,,1.0,58.22000000000003,14.555000000000007,727.7500000000003,5727.750000000001
