dt,mw_procured,Hours_in_interval,mw_available,revenue_band_1,capacity_revenue_baseline,price_pln_per_mw_h,budget_envelope,capacity_revenue_capped,bound_flag,p_acc_K1
2024-06-30 22:00:00+00:00,400.0,0.25,50.0,1154.1177200261716,1154.1177200261716,178.85,2235.625,1154.1177200261716,0,0.3077647253403124
2024-06-30 22:15:00+00:00,400.0,0.25,50.0,752.9277323614602,752.9277323614602,68.91,861.375,752.9277323614602,0,0.20078072862972274
2024-06-30 22:30:00+00:00,400.0,0.25,50.0,753.0003083531825,753.0003083531825,68.91,861.375,753.0003083531825,0,0.20080008222751533
2024-06-30 22:45:00+00:00,400.0,0.25,50.0,755.8860529841088,755.8860529841088,68.91,861.375,755.8860529841088,0,0.2015696141290957
2024-06-30 23:00:00+00:00,400.0,0.25,50.0,757.3833697527724,757.3833697527724,68.91,861.375,757.3833697527724,0,0.2019688986007393
2024-06-30 23:15:00+00:00,400.0,0.25,50.0,890.1443148211447,890.1443148211447,133.18,1664.75,890.1443148211447,0,0.2373718172856386
2024-06-30 23:30:00+00:00,400.0,0.25,50.0,890.1443148211447,890.1443148211447,133.18,1664.75,890.1443148211447,0,0.2373718172856386
2024-06-30 23:45:00+00:00,400.0,0.25,50.0,890.2367256199135,890.2367256199135,133.18,1664.75,890.2367256199135,0,0.23739646016531024
2024-07-01 00:00:00+00:00,400.0,0.25,50.0,993.5364650904427,993.5364650904427,133.18,1664.75,993.5364650904427,0,0.2649430573574514
2024-07-01 00:15:00+00:00,400.0,0.25,50.0,1137.5128296294085,1137.5128296294085,135.18,1689.75,1137.5128296294085,0,0.30333675456784226
2024-07-01 00:30:00+00:00,400.0,0.25,50.0,1137.5128296294085,1137.5128296294085,135.18,1689.75,1137.5128296294085,0,0.30333675456784226
2024-07-01 00:45:00+00:00,400.0,0.25,50.0,1137.549393091107,1137.549393091107,135.18,1689.75,1137.549393091107,0,0.30334650482429526
2024-07-01 01:00:00+00:00,400.0,0.25,50.0,1137.5128296294085,1137.5128296294085,135.18,1689.75,1137.5128296294085,0,0.30333675456784226
2024-07-01 01:15:00+00:00,400.0,0.25,50.0,1267.9366659809843,1267.9366659809843,131.98,1649.7499999999998,1267.9366659809843,0,0.3381164442615958
2024-07-01 01:30:00+00:00,400.0,0.25,50.0,1267.9366659809843,1267.9366659809843,131.98,1649.7499999999998,1267.9366659809843,0,0.3381164442615958
2024-07-01 01:45:00+00:00,400.0,0.25,50.0,1267.9366659809843,1267.9366659809843,131.98,1649.7499999999998,1267.9366659809843,0,0.3381164442615958
2024-07-01 02:00:00+00:00,400.0,0.25,50.0,1268.149051317514,1268.149051317514,131.98,1649.7499999999998,1268.149051317514,0,0.3381730803513371
2024-07-01 02:15:00+00:00,400.0,0.25,50.0,1286.5550199938705,1286.5550199938705,147.78,1847.25,1286.5550199938705,0,0.3430813386650321
2024-07-01 02:30:00+00:00,400.0,0.25,50.0,1288.1618220480186,1288.1618220480186,147.78,1847.25,1288.1618220480186,0,0.343509819212805
2024-07-01 02:45:00+00:00,400.0,0.25,50.0,1288.2274307698278,1288.2274307698278,147.78,1847.25,1288.2274307698278,0,0.3435273148719541
2024-07-01 03:00:00+00:00,400.0,0.25,50.0,1288.1836914822672,1288.1836914822672,147.78,1847.25,1288.1836914822672,0,0.34351565106193793
2024-07-01 03:15:00+00:00,400.0,0.25,50.0,1262.0259602390556,1262.0259602390556,129.67,1620.8749999999998,1262.0259602390556,0,0.33654025606374816
2024-07-01 03:30:00+00:00,400.0,0.25,50.0,1262.0259602390556,1262.0259602390556,129.67,1620.8749999999998,1262.0259602390556,0,0.33654025606374816
2024-07-01 03:45:00+00:00,400.0,0.25,50.0,1261.8957719686443,1261.8957719686443,129.67,1620.8749999999998,1261.8957719686443,0,0.3365055391916385
2024-07-01 04:00:00+00:00,400.0,0.25,50.0,1258.8757893527572,1258.8757893527572,129.67,1620.8749999999998,1258.8757893527572,0,0.3357002104940686
2024-07-01 04:15:00+00:00,400.0,0.25,50.0,695.5319032246838,695.5319032246838,68.91,861.375,695.5319032246838,0,0.185475174193249
2024-07-01 04:30:00+00:00,400.0,0.25,50.0,695.5319032246838,695.5319032246838,68.91,861.375,695.5319032246838,0,0.185475174193249
2024-07-01 04:45:00+00:00,400.0,0.25,50.0,649.8613929897398,649.8613929897398,68.91,861.375,649.8613929897398,0,0.17329637146393062
2024-07-01 05:00:00+00:00,400.0,0.25,50.0,533.1729559040016,533.1729559040016,68.91,861.375,533.1729559040016,0,0.14217945490773376
2024-07-01 05:15:00+00:00,400.0,0.25,50.0,492.5099716342923,492.5099716342923,68.91,861.375,492.5099716342923,0,0.1313359924358113
2024-07-01 05:30:00+00:00,400.0,0.25,50.0,491.043840973522,491.043840973522,68.91,861.375,491.043840973522,0,0.13094502425960586
2024-07-01 05:45:00+00:00,400.0,0.25,50.0,492.05932162821125,492.05932162821125,68.91,861.375,492.05932162821125,0,0.13121581910085633
2024-07-01 06:00:00+00:00,400.0,0.25,50.0,492.21870697836675,492.21870697836675,68.91,861.375,492.21870697836675,0,0.1312583218608978
2024-07-01 06:15:00+00:00,400.0,0.25,50.0,494.51763601705477,494.51763601705477,68.91,861.375,494.51763601705477,0,0.13187136960454793
2024-07-01 06:30:00+00:00,400.0,0.25,50.0,494.51763601705477,494.51763601705477,68.91,861.375,494.51763601705477,0,0.13187136960454793
2024-07-01 06:45:00+00:00,400.0,0.25,50.0,494.79713184266626,494.79713184266626,68.91,861.375,494.79713184266626,0,0.131945901824711
2024-07-01 07:00:00+00:00,400.0,0.25,50.0,495.1905160809392,495.1905160809392,68.91,861.375,495.1905160809392,0,0.13205080428825045
2024-07-01 07:15:00+00:00,400.0,0.25,50.0,499.94413665049365,499.94413665049365,68.91,861.375,499.94413665049365,0,0.13331843644013164
2024-07-01 07:30:00+00:00,400.0,0.25,50.0,583.4630844746257,583.4630844746257,68.91,861.375,583.4630844746257,0,0.15559015585990021
2024-07-01 07:45:00+00:00,400.0,0.25,50.0,668.6687801343146,668.6687801343146,68.91,861.375,668.6687801343146,0,0.17831167470248388
2024-07-01 08:00:00+00:00,400.0,0.25,50.0,610.7762375424655,610.7762375424655,68.91,861.375,610.7762375424655,0,0.16287366334465747
2024-07-01 08:15:00+00:00,400.0,0.25,50.0,691.2205329482722,691.2205329482722,68.91,861.375,691.2205329482722,0,0.1843254754528726
2024-07-01 08:30:00+00:00,400.0,0.25,50.0,697.9820676800575,697.9820676800575,68.91,861.375,697.9820676800575,0,0.18612855138134865
2024-07-01 08:45:00+00:00,400.0,0.25,50.0,691.9317181284958,691.9317181284958,68.91,861.375,691.9317181284958,0,0.18451512483426558
2024-07-01 09:00:00+00:00,400.0,0.25,50.0,689.3731554531579,689.3731554531579,68.91,861.375,689.3731554531579,0,0.18383284145417544
2024-07-01 09:15:00+00:00,400.0,0.25,50.0,674.8395491730691,674.8395491730691,68.91,861.375,674.8395491730691,0,0.17995721311281843
2024-07-01 09:30:00+00:00,400.0,0.25,50.0,702.3506783756998,702.3506783756998,68.91,861.375,702.3506783756998,0,0.18729351423351992
2024-07-01 09:45:00+00:00,400.0,0.25,50.0,700.5208563014794,700.5208563014794,68.91,861.375,700.5208563014794,0,0.18680556168039453
2024-07-01 10:00:00+00:00,400.0,0.25,50.0,700.5208563014794,700.5208563014794,68.91,861.375,700.5208563014794,0,0.18680556168039453
2024-07-01 10:15:00+00:00,400.0,0.25,50.0,825.4048182621526,825.4048182621526,89.49,1118.625,825.4048182621526,0,0.22010795153657403
2024-07-01 10:30:00+00:00,400.0,0.25,50.0,825.4048182621526,825.4048182621526,89.49,1118.625,825.4048182621526,0,0.22010795153657403
2024-07-01 10:45:00+00:00,400.0,0.25,50.0,825.4048182621526,825.4048182621526,89.49,1118.625,825.4048182621526,0,0.22010795153657403
2024-07-01 11:00:00+00:00,400.0,0.25,50.0,825.4048182621526,825.4048182621526,89.49,1118.625,825.4048182621526,0,0.22010795153657403
2024-07-01 11:15:00+00:00,400.0,0.25,50.0,861.4919490819186,861.4919490819186,88.64,1108.0,861.4919490819186,0,0.22973118642184498
