dt,price_pln_per_mw_h,mw_procured,CEN,COR,CSDAC,CEB_SR,Hours_in_interval,T_years,budget_pln_interval,exante_option_value_per_mw,exante_p_accept,exante_pln_per_mw_interval,exante_pln_portfolio_baseline,exante_pln_portfolio_capped
2024-07-01 04:45:00+00:00,68.91,400.0,618.05,0.0,618.05,552.59,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 05:00:00+00:00,68.91,400.0,618.05,0.0,618.05,603.89,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 05:15:00+00:00,68.91,400.0,631.04,10.0,624.65,631.04,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 05:30:00+00:00,68.91,400.0,746.91,10.0,624.65,746.91,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 05:45:00+00:00,68.91,400.0,666.63,10.0,624.65,666.63,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 06:00:00+00:00,68.91,400.0,654.04,10.0,624.65,654.04,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 06:15:00+00:00,68.91,400.0,679.0,10.0,623.53,679.0,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 06:30:00+00:00,68.91,400.0,679.0,10.0,623.53,679.0,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 06:45:00+00:00,68.91,400.0,657.0,10.0,623.53,657.0,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 07:00:00+00:00,68.91,400.0,626.05,10.0,623.53,626.05,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 07:15:00+00:00,68.91,400.0,665.87,10.0,621.29,665.87,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 07:30:00+00:00,68.91,400.0,621.29,10.0,621.29,582.67,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 07:45:00+00:00,68.91,400.0,621.29,10.0,621.29,546.61,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 08:00:00+00:00,68.91,400.0,621.29,10.0,621.29,570.76,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 08:15:00+00:00,68.91,400.0,623.47,10.0,548.96,623.47,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 08:30:00+00:00,68.91,400.0,755.87,25.63,548.96,755.87,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 08:45:00+00:00,68.91,400.0,751.76,14.85,548.96,751.76,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 09:00:00+00:00,68.91,400.0,740.24,10.0,548.96,740.24,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 09:15:00+00:00,68.91,400.0,665.87,10.0,554.39,665.87,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 09:30:00+00:00,68.91,400.0,554.39,10.0,554.39,544.14,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 09:45:00+00:00,68.91,400.0,554.39,10.0,554.39,544.86,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 10:00:00+00:00,68.91,400.0,554.39,10.0,554.39,544.86,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 10:15:00+00:00,89.49,400.0,544.14,10.0,505.83,544.14,0.25,2.8519279032626055e-05,8949.0,1.79106822805833e-118,2.938104629718335e-116,4.477670570145825e-119,2.2388352850729126e-116,2.2388352850729126e-116
2024-07-01 10:30:00+00:00,89.49,400.0,544.14,10.0,505.83,544.14,0.25,2.8519279032626055e-05,8949.0,1.79106822805833e-118,2.938104629718335e-116,4.477670570145825e-119,2.2388352850729126e-116,2.2388352850729126e-116
