dt,mw_procured,Hours_in_interval,mw_available,cap_revenue_band_1,capacity_revenue_baseline,price_pln_per_mw_h,budget_envelope,capacity_revenue_capped,bound_flag,total_revenue
2024-06-30 22:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,178.85,2235.625,1133.6085891032428,0,1133.6085891032428
2024-06-30 22:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,68.91,861.375,861.375,1,861.375
2024-06-30 22:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,68.91,861.375,861.375,1,861.375
2024-06-30 22:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,68.91,861.375,861.375,1,861.375
2024-06-30 23:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,68.91,861.375,861.375,1,861.375
2024-06-30 23:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,133.18,1664.75,1133.6085891032428,0,1133.6085891032428
2024-06-30 23:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,133.18,1664.75,1133.6085891032428,0,1133.6085891032428
2024-06-30 23:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,133.18,1664.75,1133.6085891032428,0,1133.6085891032428
2024-07-01 00:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,133.18,1664.75,1133.6085891032428,0,1133.6085891032428
2024-07-01 00:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,135.18,1689.75,1133.6085891032428,0,1133.6085891032428
2024-07-01 00:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,135.18,1689.75,1133.6085891032428,0,1133.6085891032428
2024-07-01 00:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,135.18,1689.75,1133.6085891032428,0,1133.6085891032428
2024-07-01 01:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,135.18,1689.75,1133.6085891032428,0,1133.6085891032428
2024-07-01 01:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,131.98,1649.7499999999998,1133.6085891032428,0,1133.6085891032428
2024-07-01 01:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,131.98,1649.7499999999998,1133.6085891032428,0,1133.6085891032428
2024-07-01 01:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,131.98,1649.7499999999998,1133.6085891032428,0,1133.6085891032428
2024-07-01 02:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,131.98,1649.7499999999998,1133.6085891032428,0,1133.6085891032428
2024-07-01 02:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,147.78,1847.25,1133.6085891032428,0,1133.6085891032428
2024-07-01 02:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,147.78,1847.25,1133.6085891032428,0,1133.6085891032428
2024-07-01 02:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,147.78,1847.25,1133.6085891032428,0,1133.6085891032428
2024-07-01 03:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,147.78,1847.25,1133.6085891032428,0,1133.6085891032428
2024-07-01 03:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,129.67,1620.8749999999998,1133.6085891032428,0,1133.6085891032428
2024-07-01 03:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,129.67,1620.8749999999998,1133.6085891032428,0,1133.6085891032428
2024-07-01 03:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,129.67,1620.8749999999998,1133.6085891032428,0,1133.6085891032428
2024-07-01 04:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,129.67,1620.8749999999998,1133.6085891032428,0,1133.6085891032428
2024-07-01 04:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,68.91,861.375,861.375,1,861.375
2024-07-01 04:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,68.91,861.375,861.375,1,861.375
