dt,CEN,COR,CEB_SR,CKOEB,CSDAC
2024-06-14 19:30:00+00:00,494.2,10.0,573.99,563.99,494.2
2024-06-14 19:45:00+00:00,403.45,10.0,403.45,393.45,494.2
2024-06-14 20:00:00+00:00,357.34,10.0,357.34,347.34,494.2
2024-06-14 20:15:00+00:00,406.37,10.0,515.88,505.88,406.37
2024-06-14 20:30:00+00:00,464.6,10.0,464.6,454.6,406.37
2024-06-14 20:45:00+00:00,364.28,10.0,364.28,354.28,406.37
2024-06-14 21:00:00+00:00,353.91,10.0,353.91,343.91,406.37
2024-06-14 21:15:00+00:00,455.83,10.0,455.83,445.83,374.02
2024-06-14 21:30:00+00:00,374.02,10.0,460.49,450.49,374.02
2024-06-14 21:45:00+00:00,185.11,0.0,185.11,185.11,374.02
2024-06-14 22:00:00+00:00,145.44,0.0,145.44,145.44,374.02
2024-06-14 22:15:00+00:00,575.44,10.0,514.64,504.64,575.44
2024-06-14 22:30:00+00:00,438.31,10.0,438.31,428.31,575.44
2024-06-14 22:45:00+00:00,403.2,10.0,403.2,393.2,575.44
2024-06-14 23:00:00+00:00,349.36,10.0,349.36,339.36,575.44
