dt,price_pln_per_mw_h
2024-06-13 22:00:00+00:00,488.0
2024-06-13 22:15:00+00:00,492.56
2024-06-13 22:30:00+00:00,492.56
2024-06-13 22:45:00+00:00,492.56
2024-06-13 23:00:00+00:00,492.56
2024-06-13 23:15:00+00:00,470.92
2024-06-13 23:30:00+00:00,470.92
2024-06-13 23:45:00+00:00,470.92
2024-06-14 00:00:00+00:00,470.92
2024-06-14 00:15:00+00:00,463.17
2024-06-14 00:30:00+00:00,463.17
2024-06-14 00:45:00+00:00,463.17
2024-06-14 01:00:00+00:00,463.17
2024-06-14 01:15:00+00:00,460.65
2024-06-14 01:30:00+00:00,460.65
2024-06-14 01:45:00+00:00,460.65
2024-06-14 02:00:00+00:00,460.65
2024-06-14 02:15:00+00:00,458.22
2024-06-14 02:30:00+00:00,458.22
2024-06-14 02:45:00+00:00,458.22
2024-06-14 03:00:00+00:00,458.22
2024-06-14 03:15:00+00:00,467.44
2024-06-14 03:30:00+00:00,467.44
2024-06-14 03:45:00+00:00,467.44
2024-06-14 04:00:00+00:00,467.44
2024-06-14 04:15:00+00:00,529.04
2024-06-14 04:30:00+00:00,529.04
2024-06-14 04:45:00+00:00,529.04
2024-06-14 05:00:00+00:00,529.04
2024-06-14 05:15:00+00:00,548.89
2024-06-14 05:30:00+00:00,548.89
2024-06-14 05:45:00+00:00,548.89
2024-06-14 06:00:00+00:00,548.89
2024-06-14 06:15:00+00:00,493.12
2024-06-14 06:30:00+00:00,493.12
2024-06-14 06:45:00+00:00,493.12
2024-06-14 07:00:00+00:00,493.12
2024-06-14 07:15:00+00:00,462.51
2024-06-14 07:30:00+00:00,462.51
2024-06-14 07:45:00+00:00,462.51
2024-06-14 08:00:00+00:00,1000.0
2024-06-14 08:15:00+00:00,1000.0
2024-06-14 08:30:00+00:00,1000.0
2024-06-14 08:45:00+00:00,1000.0
2024-06-14 09:00:00+00:00,1000.0
2024-06-14 09:15:00+00:00,1000.0
2024-06-14 09:30:00+00:00,1000.0
2024-06-14 09:45:00+00:00,1000.0
2024-06-14 10:00:00+00:00,1000.0
2024-06-14 10:15:00+00:00,1000.0
2024-06-14 10:30:00+00:00,1000.0
2024-06-14 10:45:00+00:00,1000.0
2024-06-14 11:00:00+00:00,1000.0
2024-06-14 11:15:00+00:00,1000.0
2024-06-14 11:30:00+00:00,1000.0
2024-06-14 11:45:00+00:00,1000.0
2024-06-14 12:00:00+00:00,444.39
2024-06-14 12:15:00+00:00,1000.0
2024-06-14 12:30:00+00:00,448.53
2024-06-14 12:45:00+00:00,448.53
2024-06-14 13:00:00+00:00,448.53
2024-06-14 13:15:00+00:00,434.1
2024-06-14 13:30:00+00:00,434.1
2024-06-14 13:45:00+00:00,434.1
2024-06-14 14:00:00+00:00,434.1
2024-06-14 14:15:00+00:00,412.79
2024-06-14 14:30:00+00:00,412.79
2024-06-14 14:45:00+00:00,412.79
2024-06-14 15:00:00+00:00,412.79
2024-06-14 15:15:00+00:00,363.71
2024-06-14 15:30:00+00:00,363.71
2024-06-14 15:45:00+00:00,363.71
2024-06-14 16:00:00+00:00,363.71
2024-06-14 16:15:00+00:00,569.85
2024-06-14 16:30:00+00:00,569.85
2024-06-14 16:45:00+00:00,569.85
2024-06-14 17:00:00+00:00,569.85
2024-06-14 17:15:00+00:00,626.43
2024-06-14 17:30:00+00:00,626.43
2024-06-14 17:45:00+00:00,626.43
2024-06-14 18:00:00+00:00,626.43
2024-06-14 18:15:00+00:00,665.23
2024-06-14 18:30:00+00:00,665.23
2024-06-14 18:45:00+00:00,665.23
2024-06-14 19:00:00+00:00,665.23
2024-06-14 19:15:00+00:00,634.66
2024-06-14 19:30:00+00:00,634.66
2024-06-14 19:45:00+00:00,634.66
2024-06-14 20:00:00+00:00,634.66
2024-06-14 20:15:00+00:00,569.27
2024-06-14 20:30:00+00:00,569.27
2024-06-14 20:45:00+00:00,569.27
2024-06-14 21:00:00+00:00,569.27
2024-06-14 21:15:00+00:00,507.85
2024-06-14 21:30:00+00:00,507.85
2024-06-14 21:45:00+00:00,507.85
2024-06-14 22:00:00+00:00,507.85
2024-06-14 22:15:00+00:00,422.03
2024-06-14 22:30:00+00:00,422.03
2024-06-14 22:45:00+00:00,134.36
